,경기 날짜,Team_A,Team_B,경기장소,경기시작시간,관중수
259,12. 13,GS칼텍스,KGC인삼공사,서울장충,17:00,"1,342"
260,12. 13,OK저축은행,우리카드,안산상록수,19:00,771
261,12. 14,흥국생명,현대건설,인천계양,17:00,"1,307"
262,12. 14,한국전력,현대캐피탈,수원,19:00,"1,713"
263,12. 15,삼성화재,KB손해보험,대전충무,19:10,"2,313"
264,12. 16,OK저축은행,대한항공,안산상록수,14:00,"1,879"
265,12. 16,IBK기업은행,GS칼텍스,화성종합실내,16:00,"2,339"
266,12. 17,현대캐피탈,우리카드,천안유관순,14:00,"4,001"
267,12. 17,흥국생명,한국도로공사,인천계양,16:00,"1,556"
268,12. 18,,,,,
269,12. 19,한국전력,KB손해보험,수원,19:00,"1,448"
270,12. 20,KGC인삼공사,현대건설,대전충무,17:00,"1,212"
271,12. 20,OK저축은행,삼성화재,안산상록수,19:00,899
272,12. 21,대한항공,우리카드,인천계양,19:00,"1,508"
273,12. 22,KB손해보험,현대캐피탈,의정부,19:00,"2,137"
274,12. 23,OK저축은행,한국전력,안산상록수,14:00,"1,785"
275,12. 23,현대건설,한국도로공사,수원,16:00,"2,511"
276,12. 24,삼성화재,우리카드,대전충무,14:00,"3,602"
277,12. 24,KGC인삼공사,IBK기업은행,대전충무,16:55,"1,759"
278,12. 25,현대캐피탈,대한항공,천안유관순,14:00,"5,040"
279,12. 25,흥국생명,GS칼텍스,인천계양,16:00,"2,489"
280,12. 26,KB손해보험,OK저축은행,의정부,19:00,"1,594"
281,12. 27,한국도로공사,현대건설,김천실내,17:00,"3,510"
282,12. 27,한국전력,우리카드,수원,19:00,"1,379"
283,12. 28,삼성화재,대한항공,대전충무,19:00,"2,585"
284,12. 29,OK저축은행,현대캐피탈,안산상록수,19:00,"1,859"
285,12. 30,KB손해보험,우리카드,의정부,14:00,"2,711"
286,12. 30,KGC인삼공사,GS칼텍스,대전충무,16:00,"1,040"
287,12. 31,대한항공,한국전력,인천계양,14:00,"3,253"
288,12. 31,한국도로공사,흥국생명,김천실내,16:00,"5,560"
289,01. 01,현대캐피탈,삼성화재,천안유관순,14:00,"4,253"
290,01. 01,IBK기업은행,현대건설,화성종합실내,16:00,"4,527"
291,01. 02,우리카드,OK저축은행,서울장충,19:00,"2,016"
292,01. 03,흥국생명,GS칼텍스,인천계양,17:00,833
293,01. 03,KB손해보험,대한항공,의정부,19:00,"1,426"
294,01. 04,한국전력,삼성화재,수원,19:00,"2,134"
295,01. 05,현대캐피탈,우리카드,천안유관순,19:00,"2,747"
296,01. 06,대한항공,OK저축은행,인천계양,14:00,"2,366"
297,01. 06,GS칼텍스,IBK기업은행,서울장충,16:00,"2,645"
298,01. 07,삼성화재,KB손해보험,대전충무,14:00,"3,212"
299,01. 07,현대건설,KGC인삼공사,수원,16:00,"2,621"
300,01. 08,,,,,
301,01. 09,GS칼텍스,한국도로공사,서울장충,17:00,"1,780"
302,01. 09,현대캐피탈,한국전력,천안유관순,19:00,"2,810"
303,01. 10,IBK기업은행,KGC인삼공사,화성종합실내,17:00,"1,280"
304,01. 10,우리카드,대한항공,서울장충,19:00,"2,089"
305,01. 11,현대건설,흥국생명,수원,17:00,"1,853"
306,01. 11,OK저축은행,삼성화재,안산상록수,19:00,"1,072"
307,01. 12,KB손해보험,한국전력,의정부,19:00,"1,742"
308,01. 13,대한항공,현대캐피탈,인천계양,14:00,"3,532"
309,01. 13,KGC인삼공사,한국도로공사,대전충무,16:00,"1,653"
310,01. 14,우리카드,삼성화재,서울장충,14:00,"3,856"
311,01. 14,흥국생명,IBK기업은행,인천계양,16:00,"2,643"
312,01. 15,,,,,
313,01. 16,GS칼텍스,현대건설,서울장충,17:00,"1,912"
314,01. 16,OK저축은행,한국전력,안산상록수,19:00,"1,076"
315,01. 17,한국도로공사,IBK기업은행,김천실내,17:00,"2,621"
