일자,기온(°C),풍속(km/h),체감온도(°C)
2018-01-22,2.4,18.4,-2
2018-01-23,-7.8,12.6,-13.4
2018-01-24,-11.7,16.9,-19.3
2018-01-25,-11.8,17.6,-19.6
2018-01-26,-12.5,13.7,-19.5
2018-01-27,-13.9,5,-17.4
2018-01-28,-4.3,12.2,-9.1
2018-01-29,-6.5,16.6,-12.8
2018-01-30,-9.3,4.7,-11.9
2018-01-31,-5.1,5.4,-7.6
2018-02-01,-5.8,3.6,-7.3
2018-02-02,-6.8,7.9,-10.7
2018-02-03,-6,18.7,-12.6
2018-02-04,-8.8,14.4,-15.1
2018-02-05,-9,8.6,-13.6
2018-02-06,-9.1,11.9,-14.8
2018-02-07,-10.5,10.8,-16.1
2018-02-08,-10.7,4.7,-13.5
2018-02-09,-7.2,4.7,-9.6
2018-02-10,-2.9,12.6,-7.5
2018-02-11,-5.6,5.8,-8.4
2018-02-12,-7.3,10.1,-12.1
2018-02-13,-3.4,8.3,-6.8
2018-02-14,-6,6.5,-9.2
2018-02-15,-0.9,6.5,-3.3
2018-02-16,-3.3,4,-4.8
2018-02-17,-1.6,14.8,-6.3
2018-02-18,-1,11.2,-4.8
2018-02-19,-1.8,3.6,-2.8
2018-02-20,-3.5,3.6,-4.7
2018-02-21,0.3,13.3,-3.7
2018-02-22,-3.7,5.4,-6
2018-02-23,-3.7,4,-5.2
2018-02-24,-0.8,4.3,-2.1
2018-02-25,1.3,5.4,-0.3
2018-02-26,-1.6,5.8,-3.8
2018-02-27,-1.8,4.7,-3.5
2018-02-28,3.8,16.9,0
2018-03-01,0.2,18,-4.7
2018-03-02,-2.7,10.8,-6.8
2018-03-03,-1.7,5,-3.5
2018-03-04,2.9,4.7,1.8
2018-03-05,5,15.1,1.7
2018-03-06,-0.1,4.3,-1.4
2018-03-07,1.2,5,-0.2
2018-03-08,0.9,4.7,-0.4
2018-03-09,3,8.3,0.7
2018-03-10,0,3.6,-0.8
2018-03-11,4.7,9,2.5
2018-03-12,0.4,3.6,-0.4
2018-03-13,2.9,5,1.7
2018-03-14,6.1,4.3,5.6
2018-03-15,,,
2018-03-16,0.6,8.3,-2.1
2018-03-17,-1.9,3.6,-2.9
2018-03-18,1.7,4.7,0.5
2018-03-19,5.1,10.4,2.7
2018-03-20,3.6,13,0.4
2018-03-21,1.2,9.4,-1.7
2018-03-22,2.1,9.7,-0.7
2018-03-23,1.2,6.1,-0.7
2018-03-24,4,5.8,2.6
2018-03-25,3.8,4.3,3
2018-03-26,4.5,4.7,3.6
2018-03-27,5.9,4,5.5
2018-03-28,6.7,3.2,6.8
2018-03-29,,,
2018-03-30,8.3,5,7.8
2018-03-31,6.4,4,6.1
2018-04-01,9.6,4.7,9.4
2018-04-02,,,
2018-04-03,,,
2018-04-04,8.1,11.9,6
2018-04-05,7.9,11.5,5.9
2018-04-06,5.5,19.8,1.7
2018-04-07,4,21.2,-0.3
2018-04-08,0.2,4.7,-1.2
2018-04-09,6.8,6.5,5.6
2018-04-10,4.8,4.7,4
2018-04-11,,,
2018-04-12,6,5.4,5.1
2018-04-13,7.1,5.4,6.3
2018-04-14,8.6,7.2,7.5
2018-04-15,8.8,13.3,6.7
2018-04-16,6.4,5.8,5.4
2018-04-17,7.7,4,7.5
2018-04-18,8.8,6.8,7.9
2018-04-19,7.2,3.2,7.3
2018-04-20,,,
2018-04-21,,,
2018-04-22,,,
2018-04-23,,,
2018-04-24,,,
2018-04-25,5.1,3.6,4.8
2018-04-26,6,4.3,5.5
2018-04-27,,,
2018-04-28,9.2,4,9.2
2018-04-29,7.4,2.9,7.7
2018-04-30,,,
