일자,기온(°C),풍속(km/h),체감온도(°C)
2017-10-01,,,
2017-10-02,,,
2017-10-03,,,
2017-10-04,,,
2017-10-05,,,
2017-10-06,,,
2017-10-07,,,
2017-10-08,,,
2017-10-09,,,
2017-10-10,,,
2017-10-11,,,
2017-10-12,,,
2017-10-13,8.4,10.1,6.7
2017-10-14,9.6,7.6,8.6
2017-10-15,,,
2017-10-16,,,
2017-10-17,9,4.7,8.7
2017-10-18,,,
2017-10-19,,,
2017-10-20,,,
2017-10-21,9.3,5.8,8.7
2017-10-22,,,
2017-10-23,8.4,4.3,8.2
2017-10-24,8.7,6.1,7.9
2017-10-25,5.6,4,5.2
2017-10-26,6.4,5,5.7
2017-10-27,9.9,5,9.6
2017-10-28,9.9,3.6,10.1
2017-10-29,7.5,5.4,6.8
2017-10-30,5.1,7.9,3.3
2017-10-31,0.6,3.2,0.1
2017-11-01,3.8,2.9,3.8
2017-11-02,9.7,5,9.4
2017-11-03,9.4,16.9,6.9
2017-11-04,7.4,18,4.3
2017-11-05,1.6,4.3,0.6
2017-11-06,1.2,3.2,0.7
2017-11-07,4.1,3.2,3.9
2017-11-08,,,
2017-11-09,3.1,2.5,3.3
2017-11-10,2.4,4.3,1.5
2017-11-11,2.3,4.3,1.3
2017-11-12,-1.1,4,-2.3
2017-11-13,0.6,5,-0.9
2017-11-14,6.9,10.8,4.8
2017-11-15,1.4,2.9,1.2
2017-11-16,-0.3,3.6,-1.2
2017-11-17,-2.4,5,-4.3
2017-11-18,-1.1,9.7,-4.5
2017-11-19,-1.5,16.6,-6.6
2017-11-20,1.4,11.9,-2.1
2017-11-21,-1.6,3.2,-2.3
2017-11-22,-0.3,4.3,-1.6
2017-11-23,-0.6,6.5,-2.9
2017-11-24,-2,2.9,-2.5
2017-11-25,-3.7,3.6,-4.9
2017-11-26,1.2,4.7,-0.1
2017-11-27,-1.7,3.6,-2.7
2017-11-28,0,4.3,-1.2
2017-11-29,4.3,4.7,3.4
2017-11-30,-0.2,14.8,-4.6
2017-12-01,-1.8,13,-6.2
2017-12-02,-5.3,2.5,-5.8
2017-12-03,-3.4,6.5,-6.2
2017-12-04,-1.1,10.8,-4.8
2017-12-05,-3.5,23,-10.1
2017-12-06,-5.7,4.3,-7.6
2017-12-07,-0.2,8.3,-3.1
2017-12-08,-2.5,12.6,-7
2017-12-09,-3.1,2.9,-3.7
2017-12-10,-1.4,3.6,-2.4
2017-12-11,-5.3,10.4,-9.8
2017-12-12,-7.6,13,-13.3
2017-12-13,-6.8,8.3,-10.8
2017-12-14,-10.3,4.3,-12.8
2017-12-15,-7.9,4,-9.9
2017-12-16,-4,10.4,-8.2
2017-12-17,-5.8,13,-11.1
2017-12-18,-7.2,4,-9.1
2017-12-19,-5,4.3,-6.8
2017-12-20,-7.3,3.6,-8.9
2017-12-21,-4.1,4,-5.7
2017-12-22,-5.6,2.9,-6.5
2017-12-23,-3.4,4.7,-5.3
2017-12-24,1.2,6.1,-0.7
2017-12-25,0,11.9,-3.8
2017-12-26,-2.9,16.9,-8.4
2017-12-27,-5.5,20.9,-12.3
2017-12-28,-4.5,7.2,-7.7
2017-12-29,0.3,7.6,-2.3
2017-12-30,-1.6,6.1,-3.9
2017-12-31,0.2,8.3,-2.6
2018-01-01,-2.2,7.6,-5.2
2018-01-02,-5.3,2.5,-5.8
2018-01-03,-3.1,7.6,-6.2
2018-01-04,-2.7,12.2,-7.1
2018-01-05,-0.7,7.6,-3.4
2018-01-06,-2.4,7.6,-5.4
2018-01-07,-5.9,4,-7.7
2018-01-08,0.2,6.5,-2
2018-01-09,-0.8,23,-6.7
2018-01-10,-6,11.9,-11
2018-01-11,-8.3,11.9,-13.8
2018-01-12,-9.3,12.6,-15.2
2018-01-13,-7.3,2.9,-8.3
2018-01-14,-7.6,4,-9.6
2018-01-15,-3.5,3.6,-4.7
2018-01-16,-1.8,4.3,-3.3
2018-01-17,1.2,4.3,0.1
2018-01-18,0.9,6.8,-1.3
2018-01-19,-1.9,8.6,-5.2
2018-01-20,-3.9,3.6,-5.2
2018-01-21,-2.7,3.6,-3.8
