일자,기온(°C),풍속(km/h),체감온도(°C)
2021-10-01,,,
2021-10-02,,,
2021-10-03,,,
2021-10-04,,,
2021-10-05,,,
2021-10-06,,,
2021-10-07,,,
2021-10-08,,,
2021-10-09,,,
2021-10-10,,,
2021-10-11,,,
2021-10-12,,,
2021-10-13,,,
2021-10-14,,,
2021-10-15,,,
2021-10-16,7.3,11.2,5.2
2021-10-17,4.1,13,1
2021-10-18,1,3.2,0.5
2021-10-19,6.7,4.7,6.1
2021-10-20,5.2,5.4,4.2
2021-10-21,3.6,1.8,4.4
2021-10-22,6.6,2.9,6.8
2021-10-23,5.8,4,5.4
2021-10-24,4.2,2.2,4.7
2021-10-25,5.2,1.8,6.1
2021-10-26,5,2.2,5.6
2021-10-27,7.5,2.5,8.1
2021-10-28,5.4,1.8,6.3
2021-10-29,6,1.4,7.4
2021-10-30,7.2,1.8,8.2
2021-10-31,6,1.4,7.4
2021-11-01,8,2.9,8.4
2021-11-02,6.6,1.8,7.6
2021-11-03,7.1,5.4,6.3
2021-11-04,5.9,4.7,5.2
2021-11-05,5.8,2.5,6.2
2021-11-06,8.9,2.9,9.4
2021-11-07,7.5,2.9,7.8
2021-11-08,8.1,14,5.7
2021-11-09,7.5,9.7,5.7
2021-11-10,5.7,8.3,3.9
2021-11-11,4.8,6.1,3.5
2021-11-12,4.2,4.7,3.3
2021-11-13,0.5,2.9,0.2
2021-11-14,1.9,1.4,3.1
2021-11-15,3.4,2.5,3.6
2021-11-16,3.5,3.6,3
2021-11-17,1.9,2.5,2
2021-11-18,3.1,2.9,3
2021-11-19,3.6,1.4,4.9
2021-11-20,4.8,1.8,5.7
2021-11-21,5.9,3.2,5.9
2021-11-22,3.5,6.1,2
2021-11-23,0.9,10.1,-2.3
2021-11-24,2.9,6.1,1.3
2021-11-25,2.2,2.9,2
2021-11-26,2.7,4.7,1.6
2021-11-27,1.1,8.6,-1.6
2021-11-28,-1.6,2.2,-1.5
2021-11-29,-1.1,2.9,-1.6
2021-11-30,4.7,17.6,1
2021-12-01,0.4,12.2,-3.4
2021-12-02,-0.8,11.9,-4.7
2021-12-03,1.7,9.7,-1.2
2021-12-04,0.3,9.4,-2.8
2021-12-05,-2.7,3.2,-3.5
2021-12-06,-1.8,3.6,-2.8
2021-12-07,-0.1,3.2,-0.7
2021-12-08,0.4,2.9,0.1
2021-12-09,-0.8,2.9,-1.2
2021-12-10,1.4,2.2,1.7
2021-12-11,,,
2021-12-12,-0.6,7.2,-3.2
2021-12-13,-3.6,8.3,-7.1
2021-12-14,-2.9,6.5,-5.6
2021-12-15,1.2,4,0.3
2021-12-16,3.1,4,2.4
2021-12-17,-5.7,16.2,-11.7
2021-12-18,-6.6,14,-12.3
2021-12-19,-3.1,3.2,-4
2021-12-20,-3.4,2.5,-3.7
2021-12-21,,,
2021-12-22,-1.7,3.2,-2.4
2021-12-23,-2.8,3.2,-3.7
2021-12-24,0.5,8.3,-2.2
2021-12-25,-7.1,12.6,-12.6
2021-12-26,-10,15.8,-16.9
2021-12-27,-8.4,7.2,-12.3
2021-12-28,-3.4,1.8,-3
2021-12-29,-2.1,1.8,-1.6
2021-12-30,-1.7,16.9,-6.9
2021-12-31,-4.6,14.4,-10
2022-01-01,-6.5,7.2,-10
