일자,기온(°C),습도(%rh),체감온도(°C)
2017-05-01,26,25,23.6
2017-05-02,25.8,26.9,23.7
2017-05-03,29,13.2,24.5
2017-05-04,26.1,37.6,25.1
2017-05-05,26.5,45.1,26.2
2017-05-06,18.8,85.1,21.5
2017-05-07,26.8,23.9,24.2
2017-05-08,26.8,26.3,24.5
2017-05-09,17.1,83.6,19.7
2017-05-10,20.6,77,22.8
2017-05-11,27.3,49.2,27.3
2017-05-12,21.8,67.7,23.4
2017-05-13,27,48.6,27
2017-05-14,24.5,32.9,23.1
2017-05-15,24.5,29.9,22.8
2017-05-16,22.6,44.6,22.4
2017-05-17,26.5,33.9,25.1
2017-05-18,29,33.2,27.3
2017-05-19,31.1,22.4,27.8
2017-05-20,31,23.6,28
2017-05-21,29.5,31.2,27.6
2017-05-22,30.4,23.9,27.4
2017-05-23,27.4,43.2,26.9
2017-05-24,26.2,54.9,26.7
2017-05-25,30.7,19.3,27
2017-05-26,23.9,28.9,22.2
2017-05-27,27.7,28.8,25.6
2017-05-28,31.6,32.7,29.7
2017-05-29,34.8,28.5,32.1
2017-05-30,31.5,32.4,29.6
2017-05-31,30.2,36.7,28.9
2017-06-01,31,45.3,30.6
2017-06-02,28.3,20.5,25.1
2017-06-03,26.8,26.8,24.6
2017-06-04,29.3,14.7,25
2017-06-05,28.5,25.8,26
2017-06-06,21.7,51.6,22.1
2017-06-07,24.1,79.1,26.5
2017-06-08,27.6,39.3,26.7
2017-06-09,31.7,26.8,29
2017-06-10,28.2,47.7,28.1
2017-06-11,29.9,21.9,26.7
2017-06-12,25.6,40.2,24.8
2017-06-13,27.4,41.2,26.7
2017-06-14,28.3,45.3,27.9
2017-06-15,31.6,35,30
2017-06-16,30.8,39.5,29.7
2017-06-17,32.2,32.6,30.2
2017-06-18,34.8,23.3,31.3
2017-06-19,34.5,28.6,31.9
2017-06-20,29.9,36.4,28.6
2017-06-21,32.6,33.6,30.8
2017-06-22,32.5,35.4,30.9
2017-06-23,34.9,28.3,32.2
2017-06-24,32.4,34.9,30.7
2017-06-25,30.5,48.9,30.4
2017-06-26,26.7,75.1,28.9
