일자,기온(°C),습도(%rh),체감온도(°C)
2017-06-27,28,59.3,28.9
2017-06-28,31,50.2,31
2017-06-29,29.7,59.9,30.6
2017-06-30,32.2,55.8,32.7
2017-07-01,27.5,94.6,31.1
2017-07-02,30.4,76.3,32.7
2017-07-03,30.7,80.6,33.4
2017-07-04,30.6,79.6,33.2
2017-07-05,33.5,52.6,33.7
2017-07-06,32,66.3,33.5
2017-07-07,28.5,86.7,31.6
2017-07-08,28.1,91.1,31.5
2017-07-09,33,71.3,35
2017-07-10,30.9,74.5,33.1
2017-07-11,33.5,57,34.2
2017-07-12,33.9,55.4,34.4
2017-07-13,35.1,42.8,34.3
2017-07-14,35.5,56.6,36.1
2017-07-15,28.2,84.9,31.1
2017-07-16,32.6,64.9,34
2017-07-17,33.8,55.8,34.4
2017-07-18,32,63.5,33.3
2017-07-19,34.8,54.2,35.2
2017-07-20,34.1,58.8,35
2017-07-21,35.5,59.9,36.4
2017-07-22,35.1,64.7,36.5
2017-07-23,29.3,95.7,33.1
2017-07-24,34,73.1,36.1
2017-07-25,28.2,98.9,32.1
2017-07-26,30.6,61,31.6
2017-07-27,32.8,45.8,32.4
2017-07-28,32.9,64.5,34.3
2017-07-29,25,98.6,28.8
2017-07-30,29,84.7,31.9
2017-07-31,26.4,99,30.3
2017-08-01,31.7,75.7,34
2017-08-02,31.7,75.7,34
2017-08-03,32.4,62.4,33.6
2017-08-04,34.1,64.6,35.5
2017-08-05,35.2,65.2,36.7
2017-08-06,36.2,56.3,36.8
2017-08-07,33.6,62.9,34.8
2017-08-08,33.3,60.7,34.3
2017-08-09,26.5,93.7,30
2017-08-10,27.2,97.1,31
2017-08-11,31.7,67.8,33.3
2017-08-12,31,61.4,32.1
2017-08-13,26.9,78.2,29.3
2017-08-14,23.8,99,27.6
2017-08-15,24.2,99,28
2017-08-16,29.6,83.8,32.5
2017-08-17,28.6,85.7,31.6
2017-08-18,31.1,71.8,33.1
2017-08-19,30.6,74.6,32.8
2017-08-20,28.5,88.5,31.7
2017-08-21,30.7,78.1,33.2
2017-08-22,32.5,75.8,34.8
2017-08-23,34.1,72.8,36.2
2017-08-24,32.4,72.7,34.5
2017-08-25,30.5,69.7,32.3
2017-08-26,29.8,41.7,29
2017-08-27,29.5,46.8,29.2
2017-08-28,29.7,59,30.6
2017-08-29,27.6,62.7,28.8
2017-08-30,22.5,62.6,23.7
2017-08-31,27.8,52.3,28.1
2017-09-01,27.9,48.4,27.8
2017-09-02,26.7,52.4,27
2017-09-03,28,48.4,27.9
2017-09-04,27.1,56.2,27.7
2017-09-05,23.6,84.9,26.4
2017-09-06,24.3,91.1,27.6
2017-09-07,28.4,60.9,29.4
2017-09-08,28.6,57.3,29.3
2017-09-09,29,61.1,30.1
2017-09-10,27.5,71.9,29.4
2017-09-11,22.8,92.9,26.1
2017-09-12,28.5,59.7,29.4
2017-09-13,27.5,44.5,27.1
2017-09-14,27.4,53.5,27.8
2017-09-15,25.8,49.3,25.9
2017-09-16,24.6,58.7,25.5
2017-09-17,26.1,64.3,27.4
2017-09-18,28,50.7,28.1
2017-09-19,28.9,53.4,29.3
2017-09-20,25.2,62,26.3
2017-09-21,26.1,41.8,25.5
2017-09-22,26.4,51.7,26.7
2017-09-23,27.2,57.7,27.9
2017-09-24,27.6,61,28.6
2017-09-25,28.8,53.7,29.2
2017-09-26,27.7,59.4,28.6
2017-09-27,21.1,95.9,24.6
2017-09-28,24.8,69.7,26.5
2017-09-29,20.6,36.7,19.8
2017-09-30,25.4,48.1,25.4
