일자,기온(°C),풍속(km/h),체감온도(°C)
2019-10-01,,,
2019-10-02,,,
2019-10-03,,,
2019-10-04,,,
2019-10-05,,,
2019-10-06,,,
2019-10-07,,,
2019-10-08,,,
2019-10-09,7.9,4.7,7.5
2019-10-10,8.2,3.2,8.4
2019-10-11,,,
2019-10-12,,,
2019-10-13,9.7,2.9,10.2
2019-10-14,9.7,2.5,10.4
2019-10-15,,,
2019-10-16,8.7,3.6,8.8
2019-10-17,9.1,2.5,9.8
2019-10-18,,,
2019-10-19,,,
2019-10-20,9.4,2.2,10.3
2019-10-21,8.3,3.6,8.4
2019-10-22,,,
2019-10-23,,,
2019-10-24,,,
2019-10-25,,,
2019-10-26,,,
2019-10-27,8,5.8,7.2
2019-10-28,3.9,2.9,3.9
2019-10-29,7.7,4.7,7.3
2019-10-30,6.7,4,6.4
2019-10-31,5.6,2.5,6
2019-11-01,8.7,5.8,8
2019-11-02,7.5,3.6,7.5
2019-11-03,9.8,2.2,10.7
2019-11-04,8.2,2.5,8.8
2019-11-05,6.1,4.3,5.6
2019-11-06,6.8,3.2,6.9
2019-11-07,8.5,3.6,8.6
2019-11-08,3,5,1.8
2019-11-09,1.1,5.4,-0.5
2019-11-10,2.8,3.2,2.5
2019-11-11,7.9,3.2,8.1
2019-11-12,6.6,7.2,5.2
2019-11-13,3.6,3.2,3.4
2019-11-14,2.5,11.5,-0.7
2019-11-15,-2.1,5,-4
2019-11-16,6,3.2,6
2019-11-17,6.7,6.8,5.4
2019-11-18,4.8,11.2,2.2
2019-11-19,2.1,6.8,0.1
2019-11-20,0.3,8.3,-2.5
2019-11-21,-2.8,3.2,-3.7
2019-11-22,1,3.6,0.3
2019-11-23,3.2,3.2,2.9
2019-11-24,6.9,4,6.6
2019-11-25,5.2,14,2.2
2019-11-26,6.9,4.3,6.5
2019-11-27,4.7,6.1,3.3
2019-11-28,2,5,0.7
2019-11-29,0,4.3,-1.2
2019-11-30,-2,2.9,-2.5
2019-12-01,5.6,7.2,4.1
2019-12-02,0.9,7.6,-1.6
2019-12-03,0.3,7.6,-2.3
2019-12-04,0.5,4.3,-0.7
2019-12-05,-2.6,7.9,-5.8
2019-12-06,-5.9,8.3,-9.8
