일자,기온(°C),습도(%rh),체감온도(°C)
2021-05-01,16,42.4,16
2021-05-02,19.8,35.7,19
2021-05-03,24.6,29.4,22.9
2021-05-04,20.3,62.4,21.5
2021-05-05,18.7,84.1,21.3
2021-05-06,24.3,25.5,22.1
2021-05-07,24.4,44.1,24.1
2021-05-08,26.3,19,23.1
2021-05-09,24.9,18.1,21.8
2021-05-10,14.5,55.4,15.4
2021-05-11,17.1,67.4,18.7
2021-05-12,26,34.7,24.7
2021-05-13,29.6,38.2,28.5
2021-05-14,30.1,42.7,29.4
2021-05-15,22.4,81.8,25
2021-05-16,24.3,79.4,26.7
2021-05-17,20,94.2,23.3
2021-05-18,24,57,24.8
2021-05-19,28.7,30,26.7
2021-05-20,17.9,83.2,20.5
2021-05-21,18.9,68,20.5
2021-05-22,26.6,47.4,26.5
2021-05-23,29.4,37.9,28.3
2021-05-24,27.3,38,26.3
2021-05-25,22.8,44.2,22.5
2021-05-26,23.2,39.8,22.5
2021-05-27,24.4,48.7,24.5
2021-05-28,27.5,34.8,26.1
2021-05-29,25.6,38.8,24.7
2021-05-30,28.6,32.5,26.9
2021-05-31,25.4,60.1,26.4
2021-06-01,28.3,48.2,28.2
2021-06-02,30,35.7,28.6
2021-06-03,19.6,89.2,22.6
2021-06-04,26,40.5,25.3
2021-06-05,29.6,42.9,29
2021-06-06,28.9,50.7,29
2021-06-07,30.1,40.5,29.2
2021-06-08,32,35.4,30.4
2021-06-09,32.4,26.5,29.6
2021-06-10,29.1,44.2,28.6
2021-06-11,26.5,71.5,28.4
2021-06-12,29.6,56.5,30.3
2021-06-13,32.8,39.2,31.6
2021-06-14,28.2,56.7,28.9
2021-06-15,23.2,79.6,25.6
2021-06-16,25.1,61.1,26.2
2021-06-17,23.1,68.1,24.7
2021-06-18,26.6,64.3,27.9
2021-06-19,29.9,35.5,28.5
2021-06-20,32.3,36.1,30.8
2021-06-21,31.1,38.2,29.9
2021-06-22,28.1,52.1,28.4
2021-06-23,23.7,68.6,25.3
2021-06-24,28.2,47.6,28
2021-06-25,30.7,45,30.2
2021-06-26,28.5,52,28.7
2021-06-27,29.1,52,29.4
2021-06-28,29.5,48.9,29.5
2021-06-29,30.9,44.5,30.4
2021-06-30,29.2,57.2,29.9
2021-07-01,32.4,45.1,31.9
2021-07-02,31.9,48.5,31.8
2021-07-03,25.7,66.7,27.2
2021-07-04,32.8,49.6,32.7
2021-07-05,25.8,71.3,27.7
2021-07-06,25.5,81.1,28.1
2021-07-07,27.6,86.6,30.6
2021-07-08,28.8,69.9,30.6
2021-07-09,29.9,68,31.5
2021-07-10,30.7,63.9,32
2021-07-11,31.5,64,32.8
2021-07-12,33.4,57.1,34.1
2021-07-13,33.8,58.3,34.6
2021-07-14,33.9,55.2,34.4
2021-07-15,34.6,56.4,35.2
2021-07-16,33.1,53.9,33.5
2021-07-17,31.1,55.9,31.7
2021-07-18,32.1,58,32.8
2021-07-19,30.5,64.1,31.8
2021-07-20,32.3,64,33.6
2021-07-21,34.1,52.6,34.3
2021-07-22,32.6,54.8,33.1
2021-07-23,33.4,51.6,33.5
2021-07-24,33.2,54,33.6
2021-07-25,31.9,60.6,32.9
2021-07-26,34.3,42.6,33.5
2021-07-27,34.3,46.4,33.9
2021-07-28,35,44.1,34.3
2021-07-29,34.2,51.6,34.3
2021-07-30,34.8,46.3,34.4
2021-07-31,34.9,51.3,35
2021-08-01,35.5,48.6,35.3
2021-08-02,31.9,68.8,33.6
2021-08-03,32.4,62.1,33.5
2021-08-04,34.3,50.1,34.3
2021-08-05,35.4,50.2,35.4
2021-08-06,35.5,46.4,35.1
2021-08-07,35.6,46.1,35.1
2021-08-08,29.3,72.2,31.3
2021-08-09,32.6,49.2,32.5
2021-08-10,27.5,75.5,29.7
2021-08-11,31.5,53.7,31.9
2021-08-12,31.4,57.6,32.1
2021-08-13,30.8,59.1,31.7
2021-08-14,27.7,68.5,29.3
2021-08-15,27.6,62.9,28.8
2021-08-16,28.6,57,29.3
2021-08-17,30.1,56,30.7
2021-08-18,27.9,61.3,28.9
2021-08-19,27.9,63.5,29.2
2021-08-20,30,56,30.6
2021-08-21,25.1,83.9,27.9
2021-08-22,29.1,63.9,30.4
2021-08-23,24.4,90.4,27.6
2021-08-24,27.7,80.1,30.2
2021-08-25,27,81.2,29.6
2021-08-26,31.4,56.3,32
2021-08-27,23.8,84.1,26.5
2021-08-28,30.3,53.3,30.6
2021-08-29,23.3,83.6,26
2021-08-30,28.5,59.4,29.4
2021-08-31,26.7,69.3,28.4
2021-09-01,24.4,92.4,27.7
2021-09-02,23.7,70.9,25.5
2021-09-03,24.9,66.8,26.4
2021-09-04,27.6,54.5,28.1
2021-09-05,25.4,61,26.4
2021-09-06,25.4,63.3,26.6
2021-09-07,24.5,79.2,26.9
2021-09-08,27.7,59.1,28.6
2021-09-09,27.8,59,28.7
2021-09-10,26.3,68.8,28
2021-09-11,29.2,56.3,29.8
2021-09-12,29.3,54.9,29.8
2021-09-13,26,61.6,27.1
2021-09-14,25.2,57.6,26
2021-09-15,27.9,44.6,27.5
2021-09-16,26.7,57.8,27.5
2021-09-17,20.8,85.4,23.6
2021-09-18,26.7,56.4,27.4
2021-09-19,27.1,54.7,27.6
2021-09-20,26.5,60.7,27.5
2021-09-21,26.8,67.3,28.3
2021-09-22,27.3,69,29
2021-09-23,26.5,45.2,26.2
2021-09-24,26.5,51,26.7
2021-09-25,20.9,91.7,24.1
2021-09-26,25.4,56.5,26.1
2021-09-27,24.6,58.7,25.5
2021-09-28,24.4,66.5,25.9
2021-09-29,26.5,71.6,28.4
2021-09-30,27.4,54.7,27.9
