일자,기온(°C),풍속(km/h),체감온도(°C)
2020-10-01,,,
2020-10-02,,,
2020-10-03,,,
2020-10-04,,,
2020-10-05,9.2,5,8.8
2020-10-06,9.5,4.3,9.4
2020-10-07,,,
2020-10-08,,,
2020-10-09,,,
2020-10-10,,,
2020-10-11,10,3.6,10.2
2020-10-12,,,
2020-10-13,,,
2020-10-14,8.8,5.4,8.3
2020-10-15,6,2.5,6.4
2020-10-16,7,2.5,7.5
2020-10-17,7.4,1.8,8.5
2020-10-18,5.8,2.9,6
2020-10-19,,,
2020-10-20,6.3,3.2,6.3
2020-10-21,8.1,3.2,8.3
2020-10-22,,,
2020-10-23,7.7,7.2,6.5
2020-10-24,4.9,5.4,3.8
2020-10-25,6.4,1.8,7.4
2020-10-26,5.5,2.5,5.9
2020-10-27,5.8,2.2,6.4
2020-10-28,,,
2020-10-29,4.8,4.3,4.1
2020-10-30,3.3,3.2,3.1
2020-10-31,5.6,3.6,5.4
2020-11-01,,,
2020-11-02,5.3,2.9,5.4
2020-11-03,4.2,9.4,1.8
2020-11-04,3.5,11.2,0.6
2020-11-05,-0.6,3.2,-1.2
2020-11-06,9.2,4,9.2
2020-11-07,5.9,1.8,6.9
2020-11-08,6.6,9.4,4.7
2020-11-09,0.2,1.4,1.3
2020-11-10,6.2,5,5.4
2020-11-11,1,3.6,0.3
2020-11-12,0,2.5,0
2020-11-13,1.6,2.2,1.9
2020-11-14,3.3,4,2.6
2020-11-15,4.3,3.6,3.9
2020-11-16,4.9,2.5,5.2
2020-11-17,7.3,2.9,7.6
2020-11-18,,,
2020-11-19,,,
2020-11-20,6,8.6,4.2
2020-11-21,1,5.4,-0.6
2020-11-22,6.2,6.8,4.9
2020-11-23,1.7,6.5,-0.3
2020-11-24,1.9,7.9,-0.5
2020-11-25,0.7,7.9,-1.9
2020-11-26,3,4,2.3
2020-11-27,3.4,5.4,2.1
2020-11-28,1,5.4,-0.6
2020-11-29,-0.8,3.6,-1.7
2020-11-30,-0.5,8.6,-3.5
2020-12-01,-1.8,3.6,-2.8
2020-12-02,-1.4,3.2,-2.1
2020-12-03,1,6.5,-1.1
2020-12-04,-3.4,4.7,-5.3
2020-12-05,-1.8,4.3,-3.3
2020-12-06,-2.7,4.3,-4.3
2020-12-07,-1.8,2.5,-2
2020-12-08,-1.9,5.4,-3.9
2020-12-09,-4.6,4,-6.2
2020-12-10,2.7,5,1.5
2020-12-11,2.3,3.2,2
2020-12-12,0.3,5.4,-1.4
2020-12-13,-1.1,12.2,-5.2
2020-12-14,-5.3,10.8,-9.9
2020-12-15,-7.5,13,-13.2
2020-12-16,-6.5,7.9,-10.3
2020-12-17,-7,6.8,-10.5
2020-12-18,-4.8,2.9,-5.6
2020-12-19,-4.6,13,-9.6
2020-12-20,-6.8,4,-8.7
2020-12-21,-6.1,4,-7.9
2020-12-22,-4.6,2.2,-4.7
2020-12-23,-4.1,4,-5.7
2020-12-24,-0.8,3.2,-1.5
2020-12-25,-2.1,4.3,-3.6
2020-12-26,-5.3,2.5,-5.8
2020-12-27,-1.8,3.2,-2.6
2020-12-28,-2.1,4.3,-3.6
2020-12-29,-1.9,3.6,-2.9
2020-12-30,-7.6,16.2,-14.1
2020-12-31,-8.9,13,-14.9
