일자,기온(°C),습도(%rh),체감온도(°C)
2019-06-25,32.7,29,30.3
2019-06-26,29.1,44,28.6
2019-06-27,31.1,47.9,30.9
2019-06-28,28.8,54.8,29.3
2019-06-29,27.7,48.6,27.7
2019-06-30,28.5,51.1,28.7
2019-07-01,28.8,41.6,28.1
2019-07-02,29.5,43,28.9
2019-07-03,27.4,52,27.7
2019-07-04,32.8,31.2,30.7
2019-07-05,34.9,31.9,32.7
2019-07-06,35.9,25.9,32.8
2019-07-07,32.4,28.8,30
2019-07-08,31,32.8,29.2
2019-07-09,29.8,35.7,28.4
2019-07-10,27.3,42.8,26.8
2019-07-11,25.8,62.5,27
2019-07-12,28.5,50.9,28.7
2019-07-13,29.2,50.9,29.4
2019-07-14,31.5,41.3,30.6
2019-07-15,27.2,62.6,28.4
2019-07-16,28.5,61.3,29.6
2019-07-17,29.1,56.9,29.8
2019-07-18,31.6,46.8,31.3
2019-07-19,34.9,39.4,33.7
2019-07-20,31.8,52.4,32
2019-07-21,27,79.7,29.5
2019-07-22,31,56,31.6
2019-07-23,32.9,52.2,33.1
2019-07-24,27,82.5,29.7
2019-07-25,26.9,94.3,30.5
2019-07-26,25.9,92.8,29.3
2019-07-27,33.2,53.9,33.6
2019-07-28,28.2,77.7,30.6
2019-07-29,29.7,70,31.5
2019-07-30,30.7,67.6,32.3
2019-07-31,26.6,92.8,30.1
2019-08-01,30,72.3,32
2019-08-02,33,57.4,33.7
2019-08-03,35.2,53,35.5
2019-08-04,34.3,52.7,34.5
2019-08-05,35.8,48.3,35.5
2019-08-06,36.4,39.9,35.2
2019-08-07,30.3,65.5,31.7
2019-08-08,32.6,58.1,33.4
2019-08-09,34.4,54.6,34.9
2019-08-10,36.5,43.8,35.8
2019-08-11,35.6,37.6,34.1
2019-08-12,28.5,89.5,31.8
2019-08-13,35.3,47.5,35
2019-08-14,35.7,45.5,35.2
2019-08-15,28.6,62.1,29.7
2019-08-16,29.5,64,30.8
2019-08-17,28.4,63.9,29.7
2019-08-18,30.6,45.5,30.2
2019-08-19,30.8,46.7,30.5
2019-08-20,32.6,48.3,32.4
2019-08-21,30.3,57.2,31
2019-08-22,31.3,45.3,30.8
2019-08-23,30.3,36.1,28.9
2019-08-24,27.2,59,28.1
2019-08-25,29.9,48.8,29.8
2019-08-26,32.1,38.9,30.9
2019-08-27,29.3,51.7,29.5
2019-08-28,29.7,49,29.7
2019-08-29,26.2,64.4,27.5
2019-08-30,27,47.4,26.9
2019-08-31,28.9,41.6,28.2
2019-09-01,27.5,51.1,27.7
2019-09-02,29.6,40.5,28.7
2019-09-03,27.8,58.2,28.6
2019-09-04,25.5,82.5,28.2
2019-09-05,27.5,70,29.3
2019-09-06,29.1,66.8,30.6
2019-09-07,29.5,59,30.4
2019-09-08,27.2,68,28.8
2019-09-09,28,64.2,29.3
2019-09-10,26.5,79.6,29
2019-09-11,28.6,56.8,29.3
2019-09-12,22.9,63.7,24.1
2019-09-13,29,40.8,28.2
2019-09-14,23,93.4,26.4
2019-09-15,29.9,47.3,29.7
2019-09-16,30.4,36.5,29
2019-09-17,28.8,33.3,27.2
2019-09-18,24.7,45.4,24.5
2019-09-19,25.9,41.7,25.3
2019-09-20,24.2,41.8,23.7
2019-09-21,22,55.3,22.7
2019-09-22,18.9,72.5,20.8
2019-09-23,24.2,42.7,23.8
2019-09-24,26.5,39.7,25.7
2019-09-25,27.4,41,26.6
2019-09-26,28.4,43.1,27.8
2019-09-27,26.9,47,26.7
2019-09-28,28.8,47.1,28.6
2019-09-29,28.5,34.3,27
2019-09-30,29.7,32.4,27.9
