일자,기온(°C),습도(%rh),체감온도(°C)
2019-05-01,22,45.9,21.9
2019-05-02,25,20.9,22.2
2019-05-03,26.1,22.6,23.4
2019-05-04,27.3,27,25
2019-05-05,26.2,20.2,23.2
2019-05-06,18.4,25.7,16.9
2019-05-07,21.9,21.6,19.6
2019-05-08,21.1,35.2,20.2
2019-05-09,22.9,22,20.5
2019-05-10,26.7,30.4,24.9
2019-05-11,28,30.8,26.1
2019-05-12,28.8,26.9,26.4
2019-05-13,22.7,34.8,21.6
2019-05-14,26.8,28.7,24.8
2019-05-15,27.8,28.6,25.7
2019-05-16,29.9,30.1,27.8
2019-05-17,28.3,33.7,26.8
2019-05-18,25.9,40.3,25.2
2019-05-19,21.1,92.2,24.3
2019-05-20,20,91.5,23.2
2019-05-21,23.1,31.1,21.7
2019-05-22,26.3,22.6,23.6
2019-05-23,28.8,28.2,26.6
2019-05-24,33.2,30.7,31
2019-05-25,27.6,30.3,25.7
2019-05-26,30.7,26.5,28.1
2019-05-27,19.6,94,22.9
2019-05-28,24.5,27,22.5
2019-05-29,26.5,28.7,24.5
2019-05-30,24.3,36.4,23.3
2019-05-31,23.3,37.6,22.4
2019-06-01,23.7,44.3,23.4
2019-06-02,27.5,30,25.6
2019-06-03,29.5,33.6,27.9
2019-06-04,29,35.1,27.6
2019-06-05,29.3,47.9,29.1
2019-06-06,25.1,58.5,26
2019-06-07,24.6,54.7,25.2
2019-06-08,27.3,44.8,26.9
2019-06-09,26.3,52.8,26.7
2019-06-10,21.9,53.1,22.4
2019-06-11,25.9,37.5,24.9
2019-06-12,26.4,50,26.5
2019-06-13,28.4,39.5,27.5
2019-06-14,28.2,36.7,27
2019-06-15,27.4,44,26.9
2019-06-16,27.1,42.6,26.5
2019-06-17,26.1,43.4,25.7
2019-06-18,24.5,65.7,25.9
2019-06-19,25.3,60.4,26.3
2019-06-20,27.5,52.3,27.8
2019-06-21,26.1,58.3,26.9
2019-06-22,30.4,30.3,28.3
2019-06-23,30.9,31.6,28.9
2019-06-24,30.7,34.4,29.1
