일자,기온(°C),습도(%rh),체감온도(°C)
2018-05-01,25,62.2,26.1
2018-05-02,19.9,91.4,23
2018-05-03,18.6,34.6,17.8
2018-05-04,22.2,17.9,19.4
2018-05-05,27.4,22.8,24.6
2018-05-06,17.8,99,21.4
2018-05-07,19,89.6,22
2018-05-08,17.9,69,19.5
2018-05-09,19.9,45.5,19.9
2018-05-10,24.2,37.4,23.3
2018-05-11,26.1,31.9,24.5
2018-05-12,18.8,95.6,22.2
2018-05-13,24.6,56.5,25.3
2018-05-14,28.8,42.3,28.1
2018-05-15,30.8,46,30.4
2018-05-16,26.6,83.8,29.4
2018-05-17,30.1,66,31.6
2018-05-18,25.4,97,29.1
2018-05-19,21.1,49,21.3
2018-05-20,23.4,41.5,22.9
2018-05-21,19.7,72.1,21.6
2018-05-22,25.2,47.8,25.1
2018-05-23,25.3,37.3,24.3
2018-05-24,28.8,32.3,27.1
2018-05-25,27.9,33.3,26.3
2018-05-26,29.7,31.8,27.8
2018-05-27,27.8,46.7,27.6
2018-05-28,28.1,48.3,28
2018-05-29,29.8,49.9,29.8
2018-05-30,26.7,72.4,28.6
2018-05-31,27.7,39.4,26.8
2018-06-01,31.8,35.5,30.3
2018-06-02,32.5,34.7,30.8
2018-06-03,31.5,32.3,29.6
2018-06-04,30.3,35.2,28.8
2018-06-05,26,57.9,26.8
2018-06-06,30.4,46.9,30.1
2018-06-07,32.1,43,31.4
2018-06-08,29.2,52,29.5
2018-06-09,25.8,52.6,26.2
2018-06-10,22.6,65.5,24
2018-06-11,19.9,85.9,22.7
2018-06-12,24.3,69.5,26
2018-06-13,26.4,56.9,27.1
2018-06-14,25.6,57.8,26.4
2018-06-15,25.1,48.2,25.1
2018-06-16,26.2,49.6,26.3
2018-06-17,28.9,48.4,28.8
2018-06-18,31.5,41.2,30.6
2018-06-19,24.3,96.8,27.9
2018-06-20,29.1,49.4,29.1
2018-06-21,30.6,33.7,28.9
2018-06-22,31.2,32.6,29.3
2018-06-23,32.3,30.5,30.1
2018-06-24,34.3,32.8,32.3
2018-06-25,33.6,36.2,32
2018-06-26,27.8,81.7,30.5
2018-06-27,31.1,71,33
2018-06-28,25.2,90.1,28.4
2018-06-29,30,71.3,31.9
2018-06-30,25.9,86.6,28.9
2018-07-01,28,88.1,31.2
2018-07-02,23.9,99,27.7
2018-07-03,26.2,96.3,29.8
2018-07-04,32.9,64.1,34.2
2018-07-05,26.7,93.5,30.2
2018-07-06,22.9,97.5,26.5
2018-07-07,25.9,61.4,27
2018-07-08,23.5,74,25.5
2018-07-09,20.1,99,23.7
2018-07-10,29,82.6,31.8
2018-07-11,32.1,72.7,34.2
2018-07-12,33.7,62.6,34.9
2018-07-13,33.9,62.3,35.1
2018-07-14,34.8,55.3,35.3
2018-07-15,34.8,56.3,35.4
2018-07-16,35.1,65.1,36.5
2018-07-17,34.8,58.9,35.7
2018-07-18,34.5,58,35.3
2018-07-19,35.2,55.7,35.8
2018-07-20,36,55.1,36.5
2018-07-21,36.2,55.7,36.8
2018-07-22,34.8,56.2,35.4
2018-07-23,36.3,49.5,36.2
2018-07-24,36.5,49.4,36.4
2018-07-25,36.7,53.1,37
2018-07-26,36.6,55.2,37.1
2018-07-27,37.9,48.7,37.7
2018-07-28,36.2,54.7,36.7
2018-07-29,36.5,45.5,35.9
2018-07-30,34.1,57.4,34.8
2018-07-31,35.7,48.9,35.5
2018-08-01,37.8,45,37.1
2018-08-02,37.9,44,37.1
2018-08-03,36.4,48.5,36.2
2018-08-04,37.6,47.3,37.3
2018-08-05,36.1,53.6,36.5
2018-08-06,35.1,59.2,36
2018-08-07,34.1,59,35
2018-08-08,37.4,47.6,37.1
2018-08-09,36.2,51,36.2
2018-08-10,31.5,73,33.6
2018-08-11,30.1,73.2,32.2
2018-08-12,32.8,65.6,34.3
2018-08-13,36.5,54.1,36.9
2018-08-14,35.6,55.2,36.1
2018-08-15,38,40.9,36.9
2018-08-16,34.2,58.5,35
2018-08-17,28.5,50.9,28.7
2018-08-18,29.7,48.3,29.6
2018-08-19,31.9,43,31.2
2018-08-20,32.6,48.2,32.4
2018-08-21,34.8,49.4,34.7
2018-08-22,34.6,53,34.9
2018-08-23,29.3,78.9,31.8
2018-08-24,32.5,61.7,33.6
2018-08-25,30.2,60.6,31.2
2018-08-26,23.6,99,27.3
2018-08-27,25.3,99,29.1
2018-08-28,29.9,89.3,33.2
2018-08-29,32,61.4,33.1
2018-08-30,29.4,95.9,33.2
2018-08-31,24.6,99,28.4
2018-09-01,28.9,68.9,30.6
2018-09-02,25.3,78,27.6
2018-09-03,27.4,93.1,30.9
2018-09-04,28.5,78,30.9
2018-09-05,29.1,50.6,29.2
2018-09-06,27.6,62.1,28.7
2018-09-07,26.3,77.8,28.6
2018-09-08,24.3,61.3,25.4
2018-09-09,27.5,50.3,27.6
2018-09-10,26.5,46.3,26.3
2018-09-11,24.1,58.6,25
2018-09-12,26.7,67.9,28.3
2018-09-13,23.1,89,26.2
2018-09-14,22.7,99,26.4
2018-09-15,23.2,99,26.9
2018-09-16,27.3,85.1,30.2
2018-09-17,28.2,54,28.6
2018-09-18,27.4,54.3,27.9
2018-09-19,24.1,81.4,26.7
2018-09-20,20.7,99,24.3
2018-09-21,19.8,99,23.4
2018-09-22,26.2,60,27.2
2018-09-23,25,70.2,26.8
2018-09-24,21.5,57.9,22.4
2018-09-25,23.7,55.6,24.3
2018-09-26,22.4,59.4,23.4
2018-09-27,24.3,52.3,24.6
2018-09-28,20,87.6,22.9
2018-09-29,22,77.9,24.3
2018-09-30,27.1,47.6,27
