일자,기온(°C),풍속(km/h),체감온도(°C)
2021-01-01,-5.4,6.8,-8.6
2021-01-02,-5.2,9,-9.2
2021-01-03,-4.7,9.4,-8.7
2021-01-04,-6.3,4,-8.1
2021-01-05,-5.5,9,-9.6
2021-01-06,-7.3,8.3,-11.4
2021-01-07,-12.1,9.4,-17.5
2021-01-08,-13.4,10.4,-19.5
2021-01-09,-10.8,13.3,-17.3
2021-01-10,-10.2,6.8,-14.2
2021-01-11,-8.4,6.5,-11.9
2021-01-12,-8.7,4,-10.8
2021-01-13,-4.4,5.8,-7
2021-01-14,-0.2,5.4,-2
2021-01-15,-3.1,4,-4.5
2021-01-16,-3.3,7.2,-6.3
2021-01-17,-4.6,12.6,-9.5
2021-01-18,-3,10.1,-6.9
2021-01-19,-8.3,5.8,-11.5
2021-01-20,-8.7,4,-10.8
2021-01-21,-4.4,4.7,-6.4
2021-01-22,3.8,2.5,4.1
2021-01-23,5.1,3.6,4.8
2021-01-24,2.6,5.8,1
2021-01-25,0.3,4.7,-1.1
2021-01-26,1.8,5,0.5
2021-01-27,0.9,4,-0.1
2021-01-28,-4.7,19.1,-11
2021-01-29,-7.6,15.5,-13.9
2021-01-30,-7.8,5.8,-10.9
2021-01-31,-5.8,3.2,-7
2021-02-01,2.9,5,1.7
2021-02-02,-1.3,16.9,-6.4
2021-02-03,-4.6,10.8,-9
2021-02-04,-2.9,4.7,-4.7
2021-02-05,-5.8,4.3,-7.7
2021-02-06,-4,3.6,-5.3
2021-02-07,0,5,-1.6
2021-02-08,-1.5,11.9,-5.6
2021-02-09,-3.6,8.3,-7.1
2021-02-10,-3.5,2.5,-3.8
2021-02-11,0,6.5,-2.2
2021-02-12,-0.1,5,-1.7
2021-02-13,-1.1,3.6,-2.1
2021-02-14,2.5,4.7,1.4
2021-02-15,-0.9,19.4,-6.3
2021-02-16,-3.5,19.8,-9.6
2021-02-17,-5.7,18.4,-12.1
2021-02-18,-7,14.4,-12.9
2021-02-19,-3.7,8.3,-7.2
2021-02-20,1.1,5,-0.3
2021-02-21,1.4,5,0
2021-02-22,4.3,4.7,3.4
2021-02-23,-0.7,5,-2.4
2021-02-24,-0.7,5.4,-2.6
2021-02-25,0,4.7,-1.4
2021-02-26,2.8,5.4,1.4
2021-02-27,2.3,5,1
2021-02-28,0,4.3,-1.2
2021-03-01,3.6,9,1.2
2021-03-02,-0.3,4,-1.4
2021-03-03,-1.7,4,-3
2021-03-04,0.1,3.2,-0.5
2021-03-05,4.7,6.5,3.2
2021-03-06,4.3,7.9,2.3
2021-03-07,4.1,7.6,2.2
2021-03-08,0.4,3.2,-0.1
2021-03-09,2.1,4.7,0.9
2021-03-10,3.4,7.2,1.5
2021-03-11,1.5,4.3,0.4
2021-03-12,7.1,5,6.5
2021-03-13,3.5,5.8,2.1
2021-03-14,5,3.2,4.9
2021-03-15,3.2,3.2,2.9
2021-03-16,8.1,8.6,6.6
2021-03-17,2.6,5,1.4
2021-03-18,4.8,4.7,4
2021-03-19,7.6,5.4,6.9
2021-03-20,6.7,7.2,5.3
2021-03-21,5.2,14.8,2
2021-03-22,3.2,11.2,0.2
2021-03-23,0.6,3.6,-0.2
2021-03-24,2.2,3.2,1.8
2021-03-25,5.1,4,4.6
2021-03-26,5.9,4.7,5.2
2021-03-27,9.1,3.2,9.4
2021-03-28,8.6,5.8,7.9
2021-03-29,9.2,5.4,8.7
2021-03-30,8.6,4.7,8.3
2021-03-31,4.3,4,3.7
2021-04-01,6.7,5.4,5.9
2021-04-02,,,
2021-04-03,,,
2021-04-04,7.3,4.7,6.8
2021-04-05,2.6,4,1.8
2021-04-06,3.4,2.5,3.6
2021-04-07,9.9,8.3,8.8
2021-04-08,,,
2021-04-09,5.2,2.9,5.3
2021-04-10,3.2,3.6,2.7
2021-04-11,5.8,3.6,5.6
2021-04-12,,,
2021-04-13,7.1,10.8,5
2021-04-14,6.1,11.9,3.6
2021-04-15,4,5.8,2.6
2021-04-16,6.1,4,5.7
2021-04-17,9.1,13.3,7
2021-04-18,8.3,13,6.1
2021-04-19,5.1,2.2,5.7
2021-04-20,8.6,2.5,9.2
2021-04-21,,,
2021-04-22,,,
2021-04-23,,,
2021-04-24,,,
2021-04-25,9.4,6.8,8.6
2021-04-26,6,5,5.2
2021-04-27,9.1,3.6,9.2
2021-04-28,,,
2021-04-29,,,
2021-04-30,,,
