행정구역,2018년01월_총인구수,2018년01월_세대수,2018년01월_세대당 인구,2018년02월_총인구수,2018년02월_세대수,2018년02월_세대당 인구,2018년03월_총인구수,2018년03월_세대수,2018년03월_세대당 인구,2018년04월_총인구수,2018년04월_세대수,2018년04월_세대당 인구,2018년05월_총인구수,2018년05월_세대수,2018년05월_세대당 인구,2018년06월_총인구수,2018년06월_세대수,2018년06월_세대당 인구,2018년07월_총인구수,2018년07월_세대수,2018년07월_세대당 인구,2018년08월_총인구수,2018년08월_세대수,2018년08월_세대당 인구,2018년09월_총인구수,2018년09월_세대수,2018년09월_세대당 인구,2018년10월_총인구수,2018년10월_세대수,2018년10월_세대당 인구,2018년11월_총인구수,2018년11월_세대수,2018년11월_세대당 인구,2018년12월_총인구수,2018년12월_세대수,2018년12월_세대당 인구
경상북도 구미시 (4719000000),422106,171783,2.46,422196,172107,2.45,422208,172328,2.45,422287,172534,2.45,422268,172599,2.45,422239,172592,2.45,422068,172629,2.44,421864,172762,2.44,421783,172876,2.44,421812,173109,2.44,421800,173233,2.43,421494,173269,2.43
경상북도 구미시 선산읍(4719025000),15556,6552,2.37,15519,6548,2.37,15478,6539,2.37,15437,6536,2.36,15385,6529,2.36,15378,6536,2.35,15358,6530,2.35,15323,6529,2.35,15302,6518,2.35,15284,6509,2.35,15259,6513,2.34,15252,6513,2.34
경상북도 구미시 고아읍(4719025300),36190,12782,2.83,36863,13039,2.83,37438,13289,2.82,37766,13433,2.81,37966,13537,2.8,38199,13613,2.81,38271,13642,2.81,38306,13699,2.8,38379,13732,2.79,38350,13740,2.79,38406,13766,2.79,38389,13780,2.79
경상북도 구미시 무을면(4719031000),2016,1011,1.99,2011,1012,1.99,2019,1013,1.99,2025,1018,1.99,2023,1014,2,2025,1015,2,2021,1016,1.99,2009,1012,1.99,2003,1012,1.98,1991,1008,1.98,1986,1008,1.97,1982,1007,1.97
경상북도 구미시 옥성면(4719032000),1903,950,2,1894,944,2.01,1889,944,2,1885,944,2,1878,941,2,1872,937,2,1865,939,1.99,1866,942,1.98,1866,939,1.99,1864,939,1.99,1870,943,1.98,1875,945,1.98
경상북도 구미시 도개면(4719033000),2347,1155,2.03,2347,1158,2.03,2344,1151,2.04,2337,1155,2.02,2328,1154,2.02,2328,1155,2.02,2322,1156,2.01,2328,1159,2.01,2315,1158,2,2299,1151,2,2283,1148,1.99,2292,1150,1.99
경상북도 구미시 해평면(4719034000),4673,2264,2.06,4666,2259,2.07,4648,2251,2.06,4644,2250,2.06,4623,2242,2.06,4605,2235,2.06,4582,2232,2.05,4574,2229,2.05,4564,2233,2.04,4552,2225,2.05,4515,2223,2.03,4499,2214,2.03
경상북도 구미시 산동면(4719035000),15523,6217,2.5,16265,6445,2.52,16712,6616,2.53,16972,6705,2.53,17135,6752,2.54,17246,6774,2.55,17396,6803,2.56,17517,6819,2.57,17564,6830,2.57,17644,6843,2.58,17673,6846,2.58,17756,6861,2.59
경상북도 구미시 장천면(4719036000),3452,1613,2.14,3474,1626,2.14,3473,1622,2.14,3451,1619,2.13,3440,1615,2.13,3452,1616,2.14,3444,1614,2.13,3450,1620,2.13,3473,1633,2.13,3451,1622,2.13,3433,1616,2.12,3430,1621,2.12
경상북도 구미시 송정동(4719051000),17185,7414,2.32,17081,7418,2.3,16986,7420,2.29,16952,7429,2.28,16931,7442,2.28,16953,7468,2.27,16934,7483,2.26,16931,7498,2.26,16944,7516,2.25,16926,7545,2.24,16908,7562,2.24,16909,7593,2.23
경상북도 구미시 원평1동(4719052000),4843,3152,1.54,4852,3166,1.53,4831,3162,1.53,4816,3154,1.53,4792,3149,1.52,4775,3148,1.52,4753,3132,1.52,4723,3133,1.51,4678,3112,1.5,4570,3072,1.49,4468,3006,1.49,4354,2949,1.48
경상북도 구미시 원평2동(4719053000),3940,2165,1.82,3924,2155,1.82,3880,2135,1.82,3843,2119,1.81,3827,2107,1.82,3795,2090,1.82,3762,2076,1.81,3747,2070,1.81,3736,2070,1.8,3714,2069,1.8,3690,2058,1.79,3673,2062,1.78
경상북도 구미시 도량동(4719055100),29562,10798,2.74,29322,10734,2.73,29167,10706,2.72,29074,10707,2.72,29034,10737,2.7,28979,10740,2.7,28961,10752,2.69,28899,10744,2.69,28868,10752,2.68,28795,10748,2.68,28808,10759,2.68,28742,10758,2.67
경상북도 구미시 지산동(4719055500),2650,1168,2.27,2637,1162,2.27,2630,1159,2.27,2598,1151,2.26,2586,1145,2.26,2565,1140,2.25,2551,1135,2.25,2540,1133,2.24,2528,1131,2.24,2500,1123,2.23,2488,1118,2.23,2463,1116,2.21
경상북도 구미시 선주원남동(4719056500),49549,18196,2.72,49379,18198,2.71,49206,18173,2.71,49076,18148,2.7,49085,18157,2.7,49098,18171,2.7,49033,18165,2.7,49035,18185,2.7,49025,18213,2.69,48969,18229,2.69,48988,18267,2.68,48998,18292,2.68
경상북도 구미시 형곡1동(4719058200),15563,5786,2.69,15528,5789,2.68,15513,5808,2.67,15503,5806,2.67,15453,5798,2.67,15407,5779,2.67,15330,5770,2.66,15354,5796,2.65,15412,5827,2.64,15635,5916,2.64,15727,5967,2.64,15771,5993,2.63
경상북도 구미시 형곡2동(4719058300),19268,7173,2.69,19182,7161,2.68,19105,7148,2.67,19036,7141,2.67,18988,7127,2.66,18949,7121,2.66,18901,7113,2.66,18845,7105,2.65,18799,7111,2.64,18689,7103,2.63,18646,7100,2.63,18625,7102,2.62
경상북도 구미시 신평1동(4719059000),3500,1908,1.83,3485,1891,1.84,3475,1878,1.85,3477,1879,1.85,3480,1887,1.84,3491,1886,1.85,3525,1912,1.84,3514,1907,1.84,3521,1910,1.84,3514,1905,1.84,3508,1907,1.84,3507,1906,1.84
경상북도 구미시 신평2동(4719060000),3259,1503,2.17,3359,1542,2.18,3421,1572,2.18,3442,1569,2.19,3464,1580,2.19,3481,1584,2.2,3474,1578,2.2,3474,1584,2.19,3472,1584,2.19,3497,1597,2.19,3500,1596,2.19,3500,1601,2.19
경상북도 구미시 비산동(4719061000),6444,2720,2.37,6450,2717,2.37,6435,2705,2.38,6471,2720,2.38,6501,2738,2.37,6522,2753,2.37,6550,2759,2.37,6581,2768,2.38,6599,2771,2.38,6594,2762,2.39,6606,2771,2.38,6586,2761,2.39
경상북도 구미시 공단1동(4719062100),5880,2212,2.66,5897,2221,2.66,5915,2238,2.64,5931,2254,2.63,5995,2267,2.64,5999,2270,2.64,6011,2269,2.65,6008,2269,2.65,6013,2273,2.65,6039,2274,2.66,6028,2271,2.65,6042,2270,2.66
경상북도 구미시 공단2동(4719062200),4906,2254,2.18,4859,2243,2.17,4832,2238,2.16,4847,2251,2.15,4874,2258,2.16,4853,2245,2.16,4843,2232,2.17,4843,2241,2.16,4830,2242,2.15,4798,2242,2.14,4789,2238,2.14,4762,2227,2.14
경상북도 구미시 광평동(4719063000),4784,2153,2.22,4768,2149,2.22,4768,2146,2.22,4749,2134,2.23,4733,2123,2.23,4725,2119,2.23,4717,2120,2.23,4706,2123,2.22,4693,2117,2.22,4672,2124,2.2,4679,2138,2.19,4664,2133,2.19
경상북도 구미시 상모사곡동(4719064500),30972,11931,2.6,30903,11939,2.59,30801,11921,2.58,30732,11913,2.58,30595,11865,2.58,30556,11858,2.58,30541,11867,2.57,30537,11874,2.57,30476,11855,2.57,30448,11862,2.57,30418,11868,2.56,30378,11895,2.55
경상북도 구미시 임오동(4719066000),20749,7408,2.8,20659,7398,2.79,20528,7370,2.79,20483,7356,2.78,20533,7361,2.79,20519,7362,2.79,20494,7370,2.78,20465,7378,2.77,20444,7367,2.78,20468,7387,2.77,20468,7410,2.76,20476,7412,2.76
경상북도 구미시 인동동(4719067000),53080,22894,2.32,52714,22811,2.31,52622,22760,2.31,52660,22765,2.31,52541,22704,2.31,52497,22669,2.32,52378,22634,2.31,52237,22601,2.31,52175,22594,2.31,51910,22506,2.31,51755,22455,2.3,51691,22435,2.3
경상북도 구미시 진미동(4719068000),18040,11365,1.59,17962,11320,1.59,17877,11253,1.59,17875,11274,1.59,17838,11229,1.59,17707,11155,1.59,17703,11150,1.59,17655,11125,1.59,17610,11096,1.59,17600,11074,1.59,17559,11027,1.59,17487,10980,1.59
경상북도 구미시 양포동(4719069000),46272,17039,2.72,46196,17062,2.71,46215,17111,2.7,46205,17104,2.7,46240,17141,2.7,46263,17153,2.7,46348,17180,2.7,46397,17219,2.69,46494,17280,2.69,47039,17534,2.68,47342,17652,2.68,47391,17693,2.68
