행정구역,2020년01월_총인구수,2020년01월_세대수,2020년01월_세대당 인구,2020년02월_총인구수,2020년02월_세대수,2020년02월_세대당 인구,2020년03월_총인구수,2020년03월_세대수,2020년03월_세대당 인구,2020년04월_총인구수,2020년04월_세대수,2020년04월_세대당 인구,2020년05월_총인구수,2020년05월_세대수,2020년05월_세대당 인구,2020년06월_총인구수,2020년06월_세대수,2020년06월_세대당 인구,2020년07월_총인구수,2020년07월_세대수,2020년07월_세대당 인구,2020년08월_총인구수,2020년08월_세대수,2020년08월_세대당 인구,2020년09월_총인구수,2020년09월_세대수,2020년09월_세대당 인구,2020년10월_총인구수,2020년10월_세대수,2020년10월_세대당 인구,2020년11월_총인구수,2020년11월_세대수,2020년11월_세대당 인구,2020년12월_총인구수,2020년12월_세대수,2020년12월_세대당 인구
경상북도 구미시 (4719000000),419761,176328,2.38,419296,176604,2.37,418436,176716,2.37,418205,177130,2.36,418007,177634,2.35,417480,177824,2.35,417098,178025,2.34,416551,178272,2.34,416626,178712,2.33,416722,179140,2.33,416279,179331,2.32,416328,179889,2.31
경상북도 구미시 선산읍(4719025000),15379,6730,2.29,15374,6732,2.28,15329,6734,2.28,15270,6758,2.26,15234,6773,2.25,15182,6767,2.24,15156,6782,2.23,15109,6785,2.23,15074,6785,2.22,15063,6803,2.21,15038,6796,2.21,15001,6788,2.21
경상북도 구미시 고아읍(4719025300),37229,13813,2.7,37156,13807,2.69,37001,13795,2.68,36936,13833,2.67,36889,13848,2.66,36823,13850,2.66,36759,13853,2.65,36649,13873,2.64,36570,13889,2.63,36522,13892,2.63,36493,13913,2.62,36487,13924,2.62
경상북도 구미시 무을면(4719031000),1918,1010,1.9,1913,1012,1.89,1897,1006,1.89,1892,1005,1.88,1892,1009,1.88,1889,1011,1.87,1883,1012,1.86,1887,1019,1.85,1884,1017,1.85,1873,1016,1.84,1876,1017,1.84,1873,1015,1.85
경상북도 구미시 옥성면(4719032000),1771,923,1.92,1772,928,1.91,1774,930,1.91,1766,935,1.89,1766,940,1.88,1761,938,1.88,1750,937,1.87,1744,940,1.86,1740,937,1.86,1741,935,1.86,1736,936,1.85,1729,935,1.85
경상북도 구미시 도개면(4719033000),2314,1163,1.99,2309,1162,1.99,2283,1148,1.99,2257,1145,1.97,2252,1149,1.96,2243,1154,1.94,2236,1152,1.94,2223,1152,1.93,2202,1149,1.92,2212,1150,1.92,2208,1151,1.92,2225,1155,1.93
경상북도 구미시 해평면(4719034000),4256,2174,1.96,4243,2171,1.95,4203,2155,1.95,4190,2155,1.94,4188,2160,1.94,4180,2160,1.94,4153,2155,1.93,4152,2164,1.92,4140,2162,1.91,4135,2169,1.91,4127,2164,1.91,4133,2168,1.91
경상북도 구미시 산동면(4719035000),25573,10163,2.52,25823,10267,2.52,25962,10308,2.52,26109,10344,2.52,26170,10366,2.52,26289,10387,2.53,26395,10409,2.54,26437,10410,2.54,26525,10422,2.55,26621,10437,2.55,26673,10456,2.55,26619,10446,2.55
경상북도 구미시 장천면(4719036000),3285,1621,2.03,3278,1619,2.02,3275,1620,2.02,3247,1615,2.01,3239,1617,2,3220,1613,2,3196,1607,1.99,3174,1606,1.98,3171,1609,1.97,3165,1610,1.97,3167,1613,1.96,3183,1627,1.96
경상북도 구미시 송정동(4719051000),16398,7698,2.13,16386,7720,2.12,16352,7726,2.12,16334,7767,2.1,16303,7783,2.09,16759,7988,2.1,24487,10550,2.32,24539,10604,2.31,24558,10633,2.31,24554,10655,2.3,24461,10642,2.3,24429,10655,2.29
