행정구역,2021년01월_총인구수,2021년01월_세대수,2021년01월_세대당 인구,2021년02월_총인구수,2021년02월_세대수,2021년02월_세대당 인구,2021년03월_총인구수,2021년03월_세대수,2021년03월_세대당 인구,2021년04월_총인구수,2021년04월_세대수,2021년04월_세대당 인구,2021년05월_총인구수,2021년05월_세대수,2021년05월_세대당 인구,2021년06월_총인구수,2021년06월_세대수,2021년06월_세대당 인구,2021년07월_총인구수,2021년07월_세대수,2021년07월_세대당 인구,2021년08월_총인구수,2021년08월_세대수,2021년08월_세대당 인구,2021년09월_총인구수,2021년09월_세대수,2021년09월_세대당 인구,2021년10월_총인구수,2021년10월_세대수,2021년10월_세대당 인구,2021년11월_총인구수,2021년11월_세대수,2021년11월_세대당 인구,2021년12월_총인구수,2021년12월_세대수,2021년12월_세대당 인구
경상북도 구미시 원평1동(4719052000),3766,2742,1.37,3769,2746,1.37,3775,2746,1.37,3767,2739,1.38,3748,2731,1.37,3716,2711,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
경상북도 구미시 원평2동(4719053000),3192,1916,1.67,3159,1896,1.67,3091,1859,1.66,3005,1820,1.65,2852,1721,1.66,2757,1668,1.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
경상북도 구미시 원평동(4719053500),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6420,4346,1.48,6388,4337,1.47,6362,4339,1.47,6338,4327,1.46,6309,4304,1.47,6276,4282,1.47
경상북도 구미시 도량동(4719055100),29895,11881,2.52,29715,11880,2.5,29517,11846,2.49,29452,11843,2.49,29418,11844,2.48,29370,11847,2.48,29336,11852,2.48,29331,11868,2.47,29226,11850,2.47,29226,11874,2.46,29193,11888,2.46,29123,11875,2.45
경상북도 구미시 지산동(4719055500),2225,1077,2.07,2221,1082,2.05,2216,1080,2.05,2202,1079,2.04,2194,1078,2.04,2185,1075,2.03,2191,1079,2.03,2191,1081,2.03,2176,1072,2.03,2173,1073,2.03,2161,1069,2.02,2151,1070,2.01
경상북도 구미시 선주원남동(4719056500),39526,16188,2.44,39287,16163,2.43,39040,16149,2.42,38935,16154,2.41,38930,16159,2.41,39013,16206,2.41,38986,16248,2.4,39052,16309,2.39,39020,16364,2.38,39001,16386,2.38,38998,16400,2.38,38893,16395,2.37
경상북도 구미시 형곡1동(4719058200),14638,5905,2.48,14603,5902,2.47,14514,5895,2.46,14429,5875,2.46,14388,5864,2.45,14345,5867,2.45,14349,5884,2.44,14274,5871,2.43,14221,5857,2.43,14210,5872,2.42,14180,5867,2.42,14174,5882,2.41
경상북도 구미시 형곡2동(4719058300),16964,7094,2.39,16914,7094,2.38,16840,7101,2.37,16774,7092,2.37,16704,7079,2.36,16655,7088,2.35,16665,7098,2.35,16661,7109,2.34,16664,7134,2.34,16628,7149,2.33,16609,7156,2.32,16583,7169,2.31
경상북도 구미시 신평1동(4719059000),3325,1946,1.71,3338,1961,1.7,3309,1962,1.69,3314,1966,1.69,3313,1971,1.68,3279,1946,1.68,3257,1942,1.68,3242,1944,1.67,3243,1946,1.67,3253,1948,1.67,3263,1950,1.67,3254,1938,1.68
경상북도 구미시 신평2동(4719060000),3269,1535,2.13,3271,1536,2.13,3243,1534,2.11,3216,1530,2.1,3225,1534,2.1,3192,1513,2.11,3181,1519,2.09,3166,1513,2.09,3165,1513,2.09,3152,1514,2.08,3112,1510,2.06,3104,1503,2.07
경상북도 구미시 비산동(4719061000),13315,5493,2.42,13293,5487,2.42,13271,5494,2.42,13239,5494,2.41,13227,5478,2.41,13234,5484,2.41,13198,5475,2.41,13171,5468,2.41,13134,5473,2.4,13126,5483,2.39,13141,5500,2.39,13141,5509,2.39
경상북도 구미시 공단1동(4719062100),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
경상북도 구미시 공단2동(4719062200),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
경상북도 구미시 광평동(4719063000),4383,2077,2.11,4348,2075,2.1,4376,2078,2.11,4383,2083,2.1,4377,2090,2.09,4369,2090,2.09,4370,2099,2.08,4337,2096,2.07,4314,2100,2.05,4300,2101,2.05,4269,2094,2.04,4279,2098,2.04
경상북도 구미시 상모사곡동(4719064500),31048,12854,2.42,31074,12889,2.41,30957,12892,2.4,30967,12920,2.4,31008,12952,2.39,31013,12962,2.39,31010,12998,2.39,31021,13032,2.38,30996,13072,2.37,31025,13115,2.37,30994,13126,2.36,30997,13145,2.36
경상북도 구미시 임오동(4719066000),18958,7277,2.61,18874,7281,2.59,18815,7273,2.59,18822,7291,2.58,18826,7316,2.57,18821,7348,2.56,18838,7371,2.56,18796,7387,2.54,18800,7409,2.54,18781,7412,2.53,18802,7435,2.53,18772,7433,2.53
경상북도 구미시 인동동(4719067000),48581,22279,2.18,48377,22291,2.17,48279,22322,2.16,48161,22331,2.16,48151,22356,2.15,48115,22367,2.15,48118,22402,2.15,48112,22438,2.14,48222,22553,2.14,48138,22571,2.13,48098,22559,2.13,48057,22562,2.13
경상북도 구미시 진미동(4719068000),16302,10747,1.52,16309,10779,1.51,16324,10829,1.51,16368,10868,1.51,16399,10908,1.5,16412,10942,1.5,16456,10974,1.5,16436,10998,1.49,16543,11138,1.49,16593,11184,1.48,16617,11218,1.48,16609,11243,1.48
경상북도 구미시 양포동(4719069000),46454,18275,2.54,46463,18421,2.52,46408,18498,2.51,46423,18528,2.51,46502,18591,2.5,46540,18641,2.5,46550,18671,2.49,46533,18694,2.49,46568,18775,2.48,46488,18759,2.48,46451,18752,2.48,46262,18699,2.47
경상북도 구미시 공단동(4719070000),4466,2171,2.06,4424,2163,2.05,4403,2159,2.04,4402,2153,2.04,4390,2137,2.05,4397,2142,2.05,4386,2140,2.05,4395,2149,2.05,4427,2170,2.04,4444,2179,2.04,4422,2170,2.04,4415,2169,2.04
