행정구역,2021년01월_총인구수,2021년01월_세대수,2021년01월_세대당 인구,2021년02월_총인구수,2021년02월_세대수,2021년02월_세대당 인구,2021년03월_총인구수,2021년03월_세대수,2021년03월_세대당 인구,2021년04월_총인구수,2021년04월_세대수,2021년04월_세대당 인구,2021년05월_총인구수,2021년05월_세대수,2021년05월_세대당 인구,2021년06월_총인구수,2021년06월_세대수,2021년06월_세대당 인구,2021년07월_총인구수,2021년07월_세대수,2021년07월_세대당 인구,2021년08월_총인구수,2021년08월_세대수,2021년08월_세대당 인구,2021년09월_총인구수,2021년09월_세대수,2021년09월_세대당 인구,2021년10월_총인구수,2021년10월_세대수,2021년10월_세대당 인구,2021년11월_총인구수,2021년11월_세대수,2021년11월_세대당 인구,2021년12월_총인구수,2021년12월_세대수,2021년12월_세대당 인구
경상북도 구미시 (4719000000),415949,180189,2.31,415409,180627,2.3,414953,181067,2.29,414730,181296,2.29,414525,181372,2.29,414284,181490,2.28,414207,181732,2.28,413813,181896,2.27,413594,182378,2.27,413366,182595,2.26,413164,182653,2.26,412581,182645,2.26
경상북도 구미시 선산읍(4719025000),14924,6767,2.21,14882,6760,2.2,14856,6762,2.2,14834,6762,2.19,14782,6737,2.19,14763,6740,2.19,14752,6749,2.19,14715,6746,2.18,14676,6750,2.17,14685,6762,2.17,14657,6765,2.17,14623,6757,2.16
경상북도 구미시 고아읍(4719025300),36510,13948,2.62,37044,14169,2.61,37916,14563,2.6,38224,14713,2.6,38278,14781,2.59,38272,14807,2.58,38273,14829,2.58,38228,14856,2.57,38162,14851,2.57,38138,14870,2.56,38176,14875,2.57,38162,14879,2.56
경상북도 구미시 산동읍(4719025600),26630,10446,2.55,26626,10464,2.54,26564,10445,2.54,26608,10443,2.55,26637,10439,2.55,26709,10442,2.56,26752,10433,2.56,26697,10387,2.57,26737,10387,2.57,26784,10398,2.58,26836,10397,2.58,26902,10413,2.58
경상북도 구미시 무을면(4719031000),1872,1013,1.85,1867,1017,1.84,1867,1021,1.83,1858,1022,1.82,1849,1019,1.81,1852,1019,1.82,1841,1016,1.81,1841,1018,1.81,1832,1014,1.81,1831,1017,1.8,1835,1024,1.79,1829,1026,1.78
경상북도 구미시 옥성면(4719032000),1733,933,1.86,1715,926,1.85,1707,922,1.85,1702,926,1.84,1692,922,1.84,1692,923,1.83,1685,926,1.82,1685,925,1.82,1678,924,1.82,1681,922,1.82,1682,922,1.82,1687,925,1.82
경상북도 구미시 도개면(4719033000),2233,1155,1.93,2229,1156,1.93,2209,1149,1.92,2205,1152,1.91,2201,1147,1.92,2179,1147,1.9,2188,1151,1.9,2184,1149,1.9,2172,1150,1.89,2179,1152,1.89,2174,1152,1.89,2167,1155,1.88
경상북도 구미시 해평면(4719034000),4102,2159,1.9,4096,2161,1.9,4084,2162,1.89,4067,2163,1.88,4067,2166,1.88,4040,2154,1.88,4037,2163,1.87,4036,2167,1.86,4021,2163,1.86,4016,2160,1.86,4004,2154,1.86,3997,2153,1.86
경상북도 구미시 산동면(4719035000),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
경상북도 구미시 장천면(4719036000),3195,1634,1.96,3167,1631,1.94,3155,1633,1.93,3134,1627,1.93,3135,1623,1.93,3097,1585,1.95,3091,1585,1.95,3075,1578,1.95,3057,1580,1.93,3050,1576,1.94,3045,1577,1.93,3037,1575,1.93
경상북도 구미시 송정동(4719051000),24443,10677,2.29,24344,10697,2.28,24217,10693,2.26,24239,10722,2.26,24232,10729,2.26,24267,10776,2.25,24277,10782,2.25,24246,10776,2.25,24178,10794,2.24,24126,10791,2.24,24136,10789,2.24,24087,10790,2.23
