행정구역,2017년01월_총인구수,2017년01월_세대수,2017년01월_세대당 인구,2017년02월_총인구수,2017년02월_세대수,2017년02월_세대당 인구,2017년03월_총인구수,2017년03월_세대수,2017년03월_세대당 인구,2017년04월_총인구수,2017년04월_세대수,2017년04월_세대당 인구,2017년05월_총인구수,2017년05월_세대수,2017년05월_세대당 인구,2017년06월_총인구수,2017년06월_세대수,2017년06월_세대당 인구,2017년07월_총인구수,2017년07월_세대수,2017년07월_세대당 인구,2017년08월_총인구수,2017년08월_세대수,2017년08월_세대당 인구,2017년09월_총인구수,2017년09월_세대수,2017년09월_세대당 인구,2017년10월_총인구수,2017년10월_세대수,2017년10월_세대당 인구,2017년11월_총인구수,2017년11월_세대수,2017년11월_세대당 인구,2017년12월_총인구수,2017년12월_세대수,2017년12월_세대당 인구
경상북도 구미시 (4719000000),420048,168662,2.49,419788,168985,2.48,419432,169000,2.48,419455,169108,2.48,419392,169128,2.48,419611,169422,2.48,419808,169644,2.47,420403,170157,2.47,420909,170573,2.47,421434,170948,2.47,421677,171210,2.46,421799,171387,2.46
경상북도 구미시 선산읍(4719025000),15616,6432,2.43,15637,6467,2.42,15677,6503,2.41,15689,6514,2.41,15681,6520,2.41,15702,6529,2.4,15733,6545,2.4,15714,6561,2.4,15666,6557,2.39,15637,6557,2.38,15617,6556,2.38,15570,6542,2.38
경상북도 구미시 고아읍(4719025300),34138,11848,2.88,34027,11838,2.87,33970,11851,2.87,33988,11867,2.86,33986,11873,2.86,33961,11874,2.86,33922,11882,2.85,34957,12252,2.85,35524,12470,2.85,35754,12574,2.84,35991,12669,2.84,36072,12732,2.83
경상북도 구미시 무을면(4719031000),2067,1018,2.03,2070,1020,2.03,2057,1011,2.03,2049,1012,2.02,2048,1013,2.02,2034,1011,2.01,2024,1013,2,2024,1010,2,2035,1014,2.01,2035,1014,2.01,2037,1018,2,2036,1018,2
경상북도 구미시 옥성면(4719032000),1939,956,2.03,1921,955,2.01,1928,958,2.01,1926,958,2.01,1918,955,2.01,1927,962,2,1921,959,2,1916,955,2.01,1915,954,2.01,1916,952,2.01,1918,950,2.02,1918,954,2.01
경상북도 구미시 도개면(4719033000),2427,1181,2.06,2405,1177,2.04,2388,1170,2.04,2390,1167,2.05,2382,1167,2.04,2373,1165,2.04,2380,1165,2.04,2386,1168,2.04,2374,1166,2.04,2372,1166,2.03,2361,1160,2.04,2344,1157,2.03
경상북도 구미시 해평면(4719034000),4915,2325,2.11,4881,2313,2.11,4869,2302,2.12,4852,2302,2.11,4845,2297,2.11,4833,2296,2.1,4820,2290,2.1,4791,2280,2.1,4766,2274,2.1,4729,2262,2.09,4712,2265,2.08,4703,2265,2.08
경상북도 구미시 산동면(4719035000),5327,2553,2.09,6109,2839,2.15,6511,2991,2.18,6714,3053,2.2,6807,3069,2.22,6838,3074,2.22,7794,3447,2.26,8999,3891,2.31,10922,4558,2.4,12316,5028,2.45,13553,5493,2.47,14613,5858,2.49
경상북도 구미시 장천면(4719036000),3520,1616,2.18,3532,1618,2.18,3504,1609,2.18,3507,1615,2.17,3490,1609,2.17,3492,1609,2.17,3480,1603,2.17,3478,1613,2.16,3473,1612,2.15,3453,1606,2.15,3454,1607,2.15,3446,1609,2.14
경상북도 구미시 송정동(4719051000),17963,7449,2.41,17939,7488,2.4,17928,7501,2.39,17932,7515,2.39,17930,7525,2.38,17819,7510,2.37,17705,7486,2.37,17632,7472,2.36,17451,7422,2.35,17313,7390,2.34,17212,7379,2.33,17148,7381,2.32
경상북도 구미시 원평1동(4719052000),5035,3217,1.57,5010,3216,1.56,5001,3204,1.56,4975,3194,1.56,4983,3189,1.56,4969,3176,1.56,4942,3162,1.56,4897,3141,1.56,4890,3143,1.56,4898,3156,1.55,4857,3150,1.54,4865,3158,1.54
경상북도 구미시 원평2동(4719053000),4216,2248,1.88,4194,2242,1.87,4159,2233,1.86,4144,2221,1.87,4128,2211,1.87,4118,2214,1.86,4101,2208,1.86,4065,2196,1.85,4037,2186,1.85,4003,2175,1.84,3984,2173,1.83,3950,2155,1.83
경상북도 구미시 도량동(4719055100),30418,10854,2.8,30420,10884,2.79,30390,10891,2.79,30376,10911,2.78,30382,10926,2.78,30302,10922,2.77,30227,10914,2.77,30084,10886,2.76,29901,10847,2.76,29798,10829,2.75,29670,10791,2.75,29636,10796,2.75
경상북도 구미시 지산동(4719055500),2812,1212,2.32,2794,1210,2.31,2776,1205,2.3,2760,1197,2.31,2761,1197,2.31,2769,1203,2.3,2759,1196,2.31,2735,1191,2.3,2722,1187,2.29,2712,1185,2.29,2699,1182,2.28,2684,1185,2.26
경상북도 구미시 선주원남동(4719056500),50399,18192,2.77,50368,18218,2.76,50318,18219,2.76,50282,18222,2.76,50310,18249,2.76,50331,18302,2.75,50271,18297,2.75,50050,18238,2.74,49865,18186,2.74,49782,18179,2.74,49656,18172,2.73,49583,18157,2.73
경상북도 구미시 형곡1동(4719058200),14871,5404,2.75,14871,5420,2.74,14834,5415,2.74,14857,5438,2.73,14925,5462,2.73,15382,5642,2.73,15620,5734,2.72,15674,5763,2.72,15711,5799,2.71,15711,5801,2.71,15622,5786,2.7,15598,5796,2.69
경상북도 구미시 형곡2동(4719058300),20619,7429,2.78,20529,7427,2.76,20419,7414,2.75,20389,7405,2.75,20320,7384,2.75,20101,7326,2.74,19912,7287,2.73,19733,7259,2.72,19622,7233,2.71,19497,7217,2.7,19421,7204,2.7,19309,7179,2.69
경상북도 구미시 신평1동(4719059000),3838,2057,1.87,3825,2044,1.87,3826,2047,1.87,3826,2048,1.87,3788,2026,1.87,3770,2018,1.87,3743,2000,1.87,3715,2003,1.85,3686,1989,1.85,3612,1963,1.84,3570,1936,1.84,3524,1917,1.84
경상북도 구미시 신평2동(4719060000),2418,1174,2.06,2389,1167,2.05,2386,1162,2.05,2383,1160,2.05,2381,1159,2.05,2362,1159,2.04,2353,1157,2.03,2345,1156,2.03,2386,1173,2.03,2780,1323,2.1,3042,1423,2.14,3190,1470,2.17
경상북도 구미시 비산동(4719061000),4962,2043,2.43,4950,2046,2.42,4969,2063,2.41,4968,2065,2.41,4981,2080,2.39,5596,2366,2.37,6264,2634,2.38,6384,2681,2.38,6411,2712,2.36,6418,2723,2.36,6409,2714,2.36,6424,2718,2.36
경상북도 구미시 공단1동(4719062100),4751,1760,2.7,4734,1754,2.7,4714,1750,2.69,4692,1744,2.69,4693,1741,2.7,4649,1728,2.69,4663,1749,2.67,5182,1954,2.65,5509,2081,2.65,5667,2126,2.67,5758,2161,2.66,5840,2188,2.67
경상북도 구미시 공단2동(4719062200),5439,2427,2.24,5368,2398,2.24,5352,2393,2.24,5363,2405,2.23,5369,2411,2.23,5339,2396,2.23,5267,2368,2.22,5146,2329,2.21,5075,2314,2.19,4995,2288,2.18,4958,2268,2.19,4916,2263,2.17
경상북도 구미시 광평동(4719063000),4991,2179,2.29,4955,2166,2.29,4974,2179,2.28,4994,2190,2.28,4972,2187,2.27,4964,2180,2.28,4931,2172,2.27,4876,2163,2.25,4820,2146,2.25,4788,2148,2.23,4773,2152,2.22,4771,2147,2.22
경상북도 구미시 상모사곡동(4719064500),32118,12255,2.62,32062,12257,2.62,31970,12219,2.62,31921,12200,2.62,31908,12208,2.61,31804,12164,2.61,31650,12119,2.61,31440,12052,2.61,31347,12026,2.61,31253,12007,2.6,31154,11976,2.6,31031,11935,2.6
경상북도 구미시 임오동(4719066000),21125,7479,2.82,21102,7493,2.82,21084,7482,2.82,21098,7489,2.82,21143,7493,2.82,21102,7487,2.82,21070,7479,2.82,20937,7458,2.81,20793,7414,2.8,20765,7401,2.81,20751,7397,2.81,20750,7396,2.81
경상북도 구미시 인동동(4719067000),55917,23608,2.37,55674,23608,2.36,55626,23598,2.36,55556,23585,2.36,55459,23573,2.35,55343,23542,2.35,55071,23429,2.35,54722,23333,2.35,54296,23242,2.34,53988,23173,2.33,53709,23096,2.33,53402,22969,2.32
경상북도 구미시 진미동(4719068000),19225,12053,1.6,19182,12054,1.59,19069,11960,1.59,19031,11931,1.6,18961,11867,1.6,18886,11829,1.6,18772,11747,1.6,18639,11705,1.59,18404,11570,1.59,18253,11483,1.59,18140,11424,1.59,18108,11404,1.59
경상북도 구미시 양포동(4719069000),48982,17693,2.77,48840,17666,2.76,48733,17670,2.76,48793,17700,2.76,48841,17737,2.75,48845,17738,2.75,48413,17602,2.75,47882,17447,2.74,47308,17298,2.73,46989,17222,2.73,46649,17108,2.73,46368,17038,2.72
